	Source	NetworkSize	TreatedCount	Reduction	NumHCWs	TreatmentEffect	TreatedHCWs	PtReduction
217	Patient_5585	8	1	6.992	6	2	1	1.496
218	Patient_16109	3	0	3.0	1	0	0	2.0
219	Patient_28862	3	2	1.9559440000000001	0	2	0	1.9559440000000001
220	Patient_34791	5	1	4.639	3	1	0	1.639
221	Patient_39849	3	1	2.278	1	2	1	1.639
222	Patient_44034	2	0	2.0	1	0	0	1.0
223	Patient_49818	3	1	1.992	1	2	1	1.496
224	Patient_63692	3	1	2.496	1	1	0	1.496
225	Patient_84999	2	0	2.0	1	0	0	1.0
226	Patient_3951	1	0	1.0	0	0	0	1.0
227	Patient_36998	1	0	1.0	0	0	0	1.0
228	Patient_41284	1	0	1.0	0	0	0	1.0
229	Patient_60007	1	0	1.0	0	0	0	1.0
230	Patient_81259	7	1	5.992	3	2	0	2.992
231	Patient_33512	1	0	1.0	0	0	0	1.0
232	Patient_41285	1	0	1.0	0	0	0	1.0
233	Patient_47924	1	0	1.0	0	0	0	1.0
234	Patient_53634	1	0	1.0	0	0	0	1.0
235	Patient_81862	1	0	1.0	0	0	0	1.0
236	Patient_4146	1	0	1.0	0	0	0	1.0
237	Patient_9990	4	0	4.0	2	0	0	2.0
238	Patient_26427	2	0	2.0	1	0	0	1.0
239	Patient_32314	2	0	2.0	0	0	0	2.0
240	Patient_42835	2	0	2.0	0	0	0	2.0
241	Patient_41945	8	3	4.226296448	3	6	2	2.430092224
242	Patient_72386	5	0	5.0	4	0	0	1.0
243	Patient_80538	4	1	3.278	1	2	0	2.278
244	Patient_7264	1	0	1.0	0	0	0	1.0
245	Patient_13504	1	0	1.0	0	0	0	1.0
246	Patient_31807	1	0	1.0	0	0	0	1.0
247	Patient_37632	2	0	2.0	0	0	0	2.0
248	Patient_40874	2	0	2.0	0	0	0	2.0
249	Patient_49941	1	0	1.0	0	0	0	1.0
250	Patient_55454	1	0	1.0	0	0	0	1.0
251	Patient_59225	2	1	1.496	0	1	0	1.496
252	Patient_61852	8	0	8.0	6	0	0	2.0
253	Patient_65856	12	2	8.763776	9	5	3	1.8129439999999999
254	Patient_75112	1	0	1.0	0	0	0	1.0
255	Patient_78973	4	2	2.631	1	3	1	2.135
256	Patient_13061	1	0	1.0	0	0	0	1.0
257	Patient_18945	1	0	1.0	0	0	0	1.0
258	Patient_28115	3	1	2.496	1	1	0	1.496
259	Patient_36464	1	0	1.0	0	0	0	1.0
260	Patient_43000	14	3	8.112848896	8	8	3	2.302440448
261	Patient_69790	2	0	2.0	1	0	0	1.0
262	Patient_82569	1	0	1.0	0	0	0	1.0
263	Patient_12756	2	0	2.0	0	0	0	2.0
264	Patient_25629	1	0	1.0	0	0	0	1.0
265	Patient_32289	1	0	1.0	0	0	0	1.0
266	Patient_38541	2	1	1.496	0	1	0	1.496
267	Patient_46440	2	0	2.0	0	0	0	2.0
268	Patient_59705	1	0	1.0	0	0	0	1.0
269	Patient_62415	1	0	1.0	0	0	0	1.0
270	Patient_80744	1	0	1.0	0	0	0	1.0
271	Patient_21855	1	0	1.0	0	0	0	1.0
272	Patient_43741	1	0	1.0	0	0	0	1.0
273	Patient_53195	3	1	2.6390000000000002	1	1	0	1.639
274	Patient_58910	1	0	1.0	0	0	0	1.0
275	Patient_63032	1	0	1.0	0	0	0	1.0
276	Patient_76568	1	0	1.0	0	0	0	1.0
277	Patient_3324	1	0	1.0	0	0	0	1.0
278	Patient_4987	1	0	1.0	0	0	0	1.0
279	Patient_21688	1	0	1.0	0	0	0	1.0
