	SimulationNumber	PercentReduction	PropCasesReduced	InitialInf	AdjustedInf	NumHCWs	NumPTs	TreatmentEffect	PropImpactedPTs	PropImpactedHCWs	PTPercentReduction
32	33	10.317817755991276	0.22004357298474944	918	823.2824330000001	329	589	202	0.24108658743633277	0.182370820668693	11.092210356536505
33	34	10.35442313564245	0.2201117318435754	895	802.3279129360001	330	565	197	0.23893805309734514	0.18787878787878787	11.213092931681414
34	35	7.492761784088141	0.16279069767441862	817	755.7841362239999	244	573	133	0.2024432809773124	0.06967213114754098	9.32254533612565
35	36	10.964110736165328	0.21928817451205512	871	775.502595488	256	615	191	0.2552845528455285	0.1328125	12.570819737235785
36	37	9.562439288488376	0.20232558139534884	860	777.763022119	286	574	174	0.22822299651567945	0.15034965034965034	10.731848411324048
37	38	11.58871148943129	0.2410196987253766	863	762.989419846208	256	607	208	0.2652388797364086	0.18359375	13.048212864875119
38	39	7.581157280206985	0.16946959896507116	773	714.397654224	242	531	131	0.18267419962335216	0.14049586776859505	8.21305946817326
39	40	9.715571853580911	0.20954907161803712	754	680.7445882239999	222	532	158	0.21428571428571427	0.1981981981981982	9.721991687218043
40	41	8.063525131034474	0.17879948914431673	783	719.8625982240001	257	526	140	0.19961977186311788	0.13618677042801555	9.281828474524717
41	42	8.909033000511508	0.20076726342711	782	712.331361936	246	536	157	0.2126865671641791	0.17479674796747968	9.621574265671644
42	43	10.71295424912689	0.23166472642607683	859	766.975723	290	569	199	0.2478031634446397	0.2	11.70162899824253
43	44	10.857760867433925	0.22344827586206897	725	646.281233711104	208	517	162	0.2205029013539652	0.23076923076923078	10.682215604041785
44	45	8.464169662483988	0.18693982074263765	781	714.894834936	231	550	146	0.20545454545454545	0.14285714285714285	9.385786011636355
45	46	11.307358571484889	0.2457293035479632	761	674.951001271	234	527	187	0.23719165085388993	0.26495726495726496	10.968036191461108
46	47	11.943249779448843	0.24179829890643986	823	724.707054315136	269	554	199	0.259927797833935	0.20446096654275092	12.62877719943393
47	48	7.2896365911799705	0.1632896305125149	839	777.839949	315	524	137	0.18129770992366412	0.13333333333333333	8.127440839694653
48	49	6.772132578431378	0.14583333333333334	816	760.73939816	253	563	119	0.17406749555950266	0.08300395256916997	8.144837271758425
49	50	7.543542601431978	0.16825775656324582	838	774.785113	340	498	141	0.1746987951807229	0.1588235294117647	8.12606887550201
50	51	11.133310893376766	0.24104234527687296	921	818.462206672	338	583	222	0.2607204116638079	0.20710059171597633	11.876577281646652
51	52	10.420871697713597	0.21419975932611313	831	744.402556192	276	555	178	0.23603603603603604	0.17028985507246377	11.435641565405403
52	53	11.45794752941177	0.23017902813299232	782	692.39885032	220	562	180	0.2508896797153025	0.17727272727272728	12.519435874733094
53	54	9.91835943517331	0.21181001283697048	779	701.7359799999999	235	544	165	0.24448529411764705	0.13617021276595745	11.372981801470583
54	55	9.566898564483632	0.19269521410579346	794	718.038825398	252	542	153	0.22878228782287824	0.11507936507936507	11.3386967900369
55	56	11.275945137755105	0.23341836734693877	784	695.59659012	209	575	183	0.24521739130434783	0.20095693779904306	11.52214645286957
56	57	14.050373101372172	0.28991060025542786	783	672.9855786162559	224	559	227	0.25760286225402507	0.3705357142857143	12.86958530084866
